Station,Camera,gps_y,gps_x,Setup_date,Retrieval_date
Alineacion-Segmento6,331,8.53103,-83.5687,3/2/2015,3/16/2015
Alineacion-Segmento6,332,8.53103,-83.5687,3/16/2015,4/4/2015
CS19,359,8.5874,-83.6237,4/8/2015,5/3/2015
CS20,360,8.57753,-83.6191,4/9/2015,5/3/2015
Espavales,337,8.48504,-83.58701,3/3/2015,4/3/2015
Laguna Corcovado Bajura,361,8.57394,-83.60062,4/9/2015,5/3/2015
Laguna Sirena,376,8.561,-83.5766,3/11/2015,4/2/2015
Latas,513,8.540973,-83.55242,3/2/2015,3/16/2015
Latas,514,8.540973,-83.55242,3/2/2015,3/16/2015
Latas,515,8.540973,-83.55242,3/16/2015,4/4/2015
Latas,516,8.540973,-83.55242,3/16/2015,4/4/2015
Llorito-Bajura,357,8.58701,-83.66182,4/8/2015,5/4/2015
Llorona Laguna,351,8.53735,-83.66008,4/5/2015,5/5/2015
Los Primates,371,8.455651,-83.577958,3/4/2015,3/18/2015
Los Primates,372,8.455651,-83.577958,3/18/2015,4/3/2015
Los Primates,508,8.455651,-83.577958,3/4/2015,3/18/2015
Los Primates,509,8.455651,-83.577958,3/18/2015,4/3/2015
OWA,373,8.508287,-83.604949,3/6/2015,3/10/2015
OWA,374,8.508287,-83.604949,3/10/2015,4/3/2015
Piedra el Arco,353,8.58172,-83.702,4/6/2015,5/5/2015
Playa Corcovado,350,8.5135,-83.6431,4/5/2015,5/5/2015
Playa Llorona,352,8.55453,-83.67866,4/5/2015,5/5/2015
Rio Claro,510,8.4686,-83.5846,3/3/2015,3/15/2015
Rio Claro,511,8.4686,-83.5846,3/3/2015,4/3/2015
Rio Claro,512,8.4686,-83.5846,3/15/2015,4/3/2015
Rio Corcovado Bajura,358,8.585267,-83.64349,4/8/2015,5/4/2015
Rio Llorona,354,8.58233,-83.67885,4/6/2015,4/7/2015
Rio Llorona,355,8.58233,-83.67885,4/7/2015,5/4/2015
Rio Pavo,334,8.51583,-83.58957,3/2/2015,3/16/2015
Rio Pavo,335,8.51583,-83.58957,3/16/2015,4/22/2015
Rio Sirena,340,8.4901,-83.6064,3/4/2015,3/9/2015
Rio Sirena,341,8.4901,-83.6064,3/9/2015,3/17/2015
Rio Sirena,342,8.4901,-83.6064,3/17/2015,4/3/2015
Sendero Azules a OWA,375,8.5345,-83.5866,3/10/2015,4/3/2015
Triangulo,356,8.56939,-83.65897,4/7/2015,5/4/2015
